City_ID,City,Lat,Lng,Max Temp °K,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp °C
120,muros,42.7762,-9.0603,285.75,65,0,9.29,ES,1675791389,12.600000000000025
121,santa barbara,34.7333,-120.0343,288.33,24,0,0.77,US,1675791165,15.180000000000009
122,peterhead,57.5058,-1.7981,279.51,89,86,4.09,GB,1675791390,6.360000000000014
123,new norfolk,-42.7826,147.0587,286.87,93,39,1.09,AU,1675791391,13.720000000000027
124,cidreira,-30.1811,-50.2056,299.59,62,2,4.69,BR,1675791332,26.44
125,busselton,-33.65,115.3333,289.22,93,1,4.85,AU,1675791392,16.07000000000005
126,norman wells,65.282,-126.8329,249.17,77,100,0.0,CA,1675791392,-23.97999999999999
127,melilla,35.2937,-2.9383,287.36,72,75,5.14,ES,1675791393,14.210000000000036
128,kundla,21.3333,71.3,294.4,59,2,3.07,IN,1675791394,21.25
129,quatre cocos,-20.2078,57.7625,300.42,79,39,6.69,MU,1675791395,27.27000000000004
130,taltal,-25.4,-70.4833,296.45,71,27,3.36,CL,1675791395,23.30000000000001
131,mayo,38.8876,-76.5119,282.11,66,0,3.6,US,1675791396,8.960000000000036
132,padang,-0.9492,100.3543,297.55,78,100,1.98,ID,1675791100,24.400000000000038
133,yar-sale,66.8333,70.8333,250.6,97,50,4.99,RU,1675791396,-22.549999999999983
134,vostok,46.4856,135.8833,253.14,99,100,2.03,RU,1675791397,-20.00999999999999
135,miquelon,47.0975,-56.3814,268.15,72,98,13.85,PM,1675791397,-5.0
136,barrow,71.2906,-156.7887,249.16,77,100,4.63,US,1675791110,-23.98999999999998
137,east london,-33.0153,27.9116,295.67,94,20,5.66,ZA,1675791398,22.52000000000004
138,carnarvon,-24.8667,113.6333,297.91,71,4,9.59,AU,1675791399,24.760000000000048
139,aswan,24.0934,32.907,289.76,25,0,3.6,EG,1675791399,16.610000000000014
140,tuktoyaktuk,69.4541,-133.0374,239.15,68,100,1.54,CA,1675791282,-33.99999999999997
141,jutai,-5.1833,-68.9,300.57,87,70,0.97,BR,1675791400,27.420000000000016
142,aksarka,66.5606,67.7975,252.46,95,86,5.34,RU,1675791400,-20.68999999999997
143,karpogory,64.0019,44.4451,268.31,92,100,4.94,RU,1675791401,-4.839999999999975
144,afua,-0.1567,-50.3867,300.55,81,86,2.98,BR,1675791401,27.400000000000038
145,kalmunai,7.4167,81.8167,298.09,88,38,2.93,LK,1675791402,24.94
146,acarau,-2.8856,-40.12,301.46,70,100,5.51,BR,1675791402,28.31
147,gushi,34.6425,109.5843,281.55,47,100,3.85,CN,1675791403,8.400000000000034
148,poronaysk,49.2167,143.1167,249.75,100,97,1.84,RU,1675791403,-23.399999999999977
149,pahrump,36.2083,-115.9839,281.77,40,0,1.79,US,1675791404,8.620000000000005
150,margate,51.3813,1.3862,278.09,83,8,3.16,GB,1675791216,4.939999999999998
151,rio gallegos,-51.6226,-69.2181,293.18,42,40,0.93,AR,1675791161,20.03000000000003
152,surin,14.8818,103.4936,299.52,59,39,2.04,TH,1675791405,26.370000000000005
153,vila velha,-20.3297,-40.2925,304.12,73,20,7.72,BR,1675791174,30.970000000000027
154,mairana,-18.1167,-63.9333,289.73,97,98,0.98,BO,1675791405,16.58000000000004
155,albion,42.2431,-84.753,281.6,70,40,8.75,US,1675791218,8.450000000000045
156,capinopolis,-18.6819,-49.5697,301.09,68,79,2.46,BR,1675791406,27.94
157,ambon,-3.6954,128.1814,298.23,94,40,2.57,ID,1675791121,25.08000000000004
158,umea,63.8284,20.2597,271.99,93,0,1.03,SE,1675791407,-1.1599999999999682
159,hobart,-42.8794,147.3294,287.07,58,100,2.57,AU,1675791283,13.920000000000016
160,castro,-24.7911,-50.0119,299.54,49,69,0.41,BR,1675791248,26.390000000000043
161,dukat,62.55,155.55,232.99,100,98,1.89,RU,1675791408,-40.15999999999997
162,mackay,-21.15,149.2,299.08,82,90,8.67,AU,1675791408,25.930000000000007
163,victor harbor,-35.5667,138.6167,289.08,85,0,3.3,AU,1675791409,15.930000000000009
164,ostrovnoy,68.0531,39.5131,276.15,88,100,11.98,RU,1675791409,3.0
165,road town,18.4167,-64.6167,301.17,74,40,4.12,VG,1675791202,28.02000000000004
166,shimoda,34.6667,138.95,282.65,74,95,2.65,JP,1675791165,9.5
167,sheboygan,43.7333,-87.9334,277.14,79,100,8.23,US,1675791335,3.990000000000009
168,bay roberts,47.5999,-53.2648,268.89,77,100,8.49,CA,1675791410,-4.259999999999991
169,la palma,33.8464,-118.0467,293.52,36,0,2.68,US,1675791411,20.370000000000005
170,labuhan,-6.8844,112.2051,297.7,91,100,3.31,ID,1675791411,24.55000000000001
171,klaksvik,62.2266,-6.589,280.66,80,86,20.67,FO,1675791412,7.510000000000048
172,lincoln,40.8,-96.667,280.53,45,0,3.09,US,1675791270,7.3799999999999955
173,bara,10.3744,10.7288,302.08,14,89,4.41,NG,1675791413,28.930000000000007
174,kaitangata,-46.2817,169.8464,285.9,57,26,5.04,NZ,1675791413,12.75
175,pingliang,35.5392,106.6861,275.92,59,100,1.36,CN,1675791414,2.7700000000000387
176,dunedin,-45.8742,170.5036,283.86,74,73,3.18,NZ,1675791415,10.710000000000036
177,shenkursk,62.1091,42.896,267.35,94,100,5.25,RU,1675791415,-5.7999999999999545
178,cherskiy,68.75,161.3,237.3,98,100,2.31,RU,1675791416,-35.849999999999966
179,hasaki,35.7333,140.8333,281.37,82,100,10.25,JP,1675791416,8.220000000000027
180,faya,18.3851,42.4509,289.21,76,38,2.41,SA,1675791286,16.060000000000002
181,tashigang,27.3331,91.5542,282.28,94,99,1.27,BT,1675791417,9.129999999999995
182,olafsvik,64.8945,-23.7142,271.15,53,100,18.19,IS,1675791419,-2.0
183,motala,58.5371,15.0365,276.02,83,95,5.98,SE,1675791419,2.8700000000000045
184,guerrero negro,27.9769,-114.0611,291.37,25,5,1.9,MX,1675791346,18.220000000000027
185,ribeira grande,38.5167,-28.7,287.37,54,75,8.23,PT,1675791135,14.220000000000027
186,esperance,-33.8667,121.9,293.06,73,35,5.21,AU,1675791401,19.910000000000025
187,arraial do cabo,-22.9661,-42.0278,304.13,70,40,3.6,BR,1675791420,30.980000000000015
188,mindelo,16.8901,-24.9804,295.9,40,40,13.89,CV,1675791421,22.75
189,ponta do sol,32.6667,-17.1,290.77,63,42,2.78,PT,1675791198,17.620000000000005
190,necochea,-38.5473,-58.7368,303.37,43,14,4.53,AR,1675791421,30.220000000000027
191,mehamn,71.0357,27.8492,276.12,65,40,18.01,NO,1675791422,2.9700000000000277
192,jensen beach,27.2545,-80.2298,297.64,58,20,5.14,US,1675791378,24.49000000000001
193,rodrigues alves,-7.738,-72.6509,297.26,96,99,1.1,BR,1675791422,24.110000000000014
194,cayenne,4.9333,-52.3333,303.17,66,75,7.2,GF,1675791423,30.02000000000004
195,dubbo,-32.25,148.6167,295.22,60,1,6.17,AU,1675791400,22.07000000000005
196,requena,39.4883,-1.1004,277.88,77,70,2.66,ES,1675791424,4.730000000000018
197,barra do garcas,-15.89,-52.2567,306.47,52,40,1.54,BR,1675791424,33.32000000000005
